step,time,KE,PE,E_total,E_per_atom
2360,11.8,112.19118054014109,-640.33758824206,-528.1464077019189,-4.890244515758508
2370,11.85,109.54136835241492,-637.6774399792339,-528.136071626819,-4.890148811359435
2380,11.9,123.33745760611299,-651.5037891096272,-528.1663315035141,-4.8904289954029085
2390,11.950000000000001,120.37638371920082,-648.5246767503778,-528.148293031177,-4.890261972510898
2400,12.0,115.88099999999987,-640.8064954452279,-524.9254954452281,-4.860421254122482
2410,12.05,112.87103319464029,-637.8149018761928,-524.9438686815525,-4.860591376681042
2420,12.1,106.11971569882898,-631.0499391935724,-524.9302234947435,-4.860465032358736
2430,12.15,106.96907823755988,-631.8965355383644,-524.9274573008046,-4.860439419451894
2440,12.200000000000001,115.71937312630726,-640.6496533580955,-524.9302802317883,-4.860465557701743
2450,12.25,126.8495675553815,-651.7947549376764,-524.945187382295,-4.8606035868731015
2460,12.3,121.68244878312703,-646.6058561123233,-524.9234073291963,-4.86040191971478
2470,12.35,112.9717427332773,-637.8790211621223,-524.907278428845,-4.860252578044861
2480,12.4,110.1642182915038,-635.0938408926353,-524.9296226011315,-4.860459468528996
2490,12.450000000000001,110.28210700761217,-635.2137760106649,-524.9316690030528,-4.860478416694933
2500,12.5,115.881,-638.4519530451531,-522.5709530451531,-4.83861993560327
2510,12.55,118.07892886969944,-640.6709248700155,-522.591996000316,-4.838814777780704
2520,12.6,116.39152420790873,-638.9747246168629,-522.5832004089541,-4.838733337119946
2530,12.65,120.05224331330298,-642.6422299826949,-522.5899866693919,-4.83879617286474
2540,12.700000000000001,114.32120632548232,-636.8835358303951,-522.5623295049128,-4.838540088008451
2550,12.75,118.79075933794861,-641.3719356555699,-522.5811763176213,-4.8387145955335304
2560,12.8,114.92785374847355,-637.4918553702281,-522.5640016217545,-4.838555570571801
2570,12.85,117.17625673191867,-639.7732127970527,-522.596956065134,-4.838860704306796
2580,12.9,114.49813465775756,-637.0888629356997,-522.5907282779422,-4.838803039610576
2590,12.950000000000001,114.05074364085858,-636.6307608081546,-522.580017167296,-4.8387038626601475
2600,13.0,115.88099999999991,-634.083452991204,-518.2024529912042,-4.798170861029668
2610,13.05,118.71984588716785,-636.9451766879762,-518.2253308008084,-4.798382692600078
2620,13.1,116.36854671361552,-634.5746755828828,-518.2061288692673,-4.79820489693766
2630,13.15,118.22514012519792,-636.4461889437977,-518.2210488185997,-4.798343044616664
2640,13.200000000000001,122.13497560140863,-640.3459252097801,-518.2109496083715,-4.798249533410847
2650,13.25,124.28298470877135,-642.4832087373615,-518.2002240285901,-4.798150222486946
2660,13.3,117.9292554996627,-636.1717763952779,-518.2425208956151,-4.798541860144585
2670,13.35,105.8249157059431,-624.0266148716795,-518.2016991657364,-4.798163881164226
2680,13.4,111.2628368701515,-629.472424892025,-518.2095880218734,-4.798236926128458
2690,13.450000000000001,106.26419960611213,-624.465345905095,-518.2011462989828,-4.798158762027619
2700,13.5,115.881,-630.0635916198984,-514.1825916198984,-4.760949922406467
2710,13.55,128.00204140421468,-642.2233832270272,-514.2213418228125,-4.761308720581598
2720,13.6,116.18956499188899,-630.3789256925375,-514.1893607006484,-4.761012599080078
2730,13.65,119.34881741262514,-633.5442045963391,-514.1953871837139,-4.761068399849203
2740,13.700000000000001,122.07168753991631,-636.2568313134994,-514.1851437735831,-4.760973553459103
2750,13.75,118.88730723074872,-633.0622322096604,-514.1749249789116,-4.760878934989922
2760,13.8,117.05756936832151,-631.225897240132,-514.1683278718104,-4.760817850664911
2770,13.85,127.48403013605012,-641.686813208984,-514.2027830729338,-4.761136880304942
2780,13.9,129.94347780741253,-644.1266753861582,-514.1831975787456,-4.760955533136534
2790,13.950000000000001,123.93109678325015,-638.0889105465877,-514.1578137633376,-4.7607204978086815
2800,14.0,115.881,-640.5757113965645,-524.6947113965646,-4.858284364783005
2810,14.05,114.0718244990024,-638.7519704595057,-524.6801459605033,-4.8581494996342895
2820,14.1,119.3561651907187,-644.0511018160482,-524.6949366253295,-4.858286450234533
2830,14.15,115.70015588075938,-640.3817803645887,-524.6816244838294,-4.858163189665087
2840,14.200000000000001,115.08284347710854,-639.7798685705662,-524.6970250934577,-4.858305787902386
2850,14.25,114.04424902502096,-638.7427654678169,-524.698516442796,-4.858319596692555
2860,14.3,113.70339352470243,-638.4229725293526,-524.7195790046502,-4.858514620413428
2870,14.35,109.88307150143204,-634.5770744353588,-524.6940029339268,-4.858277804943766
2880,14.4,116.58896437318762,-641.2804488813264,-524.6914845081387,-4.858254486186469
2890,14.450000000000001,116.02713187101658,-640.7173926642143,-524.6902607931978,-4.8582431554925725
2900,14.5,115.881,-635.4571786987032,-519.5761786987032,-4.810890543506511
2910,14.55,118.26579832215678,-637.8431840343757,-519.5773857122189,-4.810901719557582
2920,14.6,121.99737057612145,-641.594429677578,-519.5970591014566,-4.811083880569043
2930,14.65,112.70822542811347,-632.2894843733692,-519.5812589452557,-4.810937582826442
2940,14.700000000000001,110.09525030183552,-629.6444289695766,-519.549178667741,-4.810640543219824
2950,14.75,130.78177768164815,-650.3878566730524,-519.6060789914043,-4.811167398068558
2960,14.8,120.44668961594202,-640.0160445595814,-519.5693549436394,-4.810827360589253
2970,14.85,114.75850398568804,-634.3282434595934,-519.5697394739054,-4.81083092105468
2980,14.9,118.29192424350458,-637.863378785524,-519.5714545420194,-4.8108468013149945
2990,14.950000000000001,118.02930565521123,-637.617608441869,-519.5883027866578,-4.811002803580164
3000,15.0,115.881,-634.2413942351465,-518.3603942351465,-4.79963327995506
3010,15.05,117.96593640238167,-636.3028307198464,-518.3368943174647,-4.7994156881246735
3020,15.1,122.75357350729043,-641.0964066451525,-518.342833137862,-4.799470677202426
3030,15.15,119.39148954704292,-637.736163739233,-518.34467419219,-4.79948772400176
3040,15.200000000000001,115.62435068822256,-633.9533768233799,-518.3290261351574,-4.799342834584791
3050,15.25,119.94870223889325,-638.310970052176,-518.3622678132828,-4.799650627900767
3060,15.3,101.46171166456209,-619.783579260793,-518.3218675962308,-4.799276551816952
