step,time,T,P,PE,KE,E_total,E_per_atom,density,virial,min_r,max_f,p_COM
1150,5.75,0.7064484052239645,-1.1228201796227881,-633.3304859831796,113.3849690384463,-519.9455169447333,-4.814310342080864,0.8442,-367.31867902517376,0.9758522197185051,29.55936763607653,1.93638459635676e-14
1160,5.8,0.6781182847730264,-0.9759939031986784,-628.7556641155887,108.83798470607074,-519.917679409518,-4.8140525871251665,0.8442,-301.78848384482734,0.936076326319753,61.70709614179431,1.8344650808193027e-14
1170,5.8500000000000005,0.7114671604359214,-1.2263964369739977,-634.116373691627,114.19047924996538,-519.9258944416616,-4.814128652237607,0.8442,-408.69683742646555,0.9593154625031003,42.25382437115683,2.4532537657185683e-14
1180,5.9,0.7600529695072976,-1.5732699225203968,-641.9580142724636,121.98850160592127,-519.9695126665424,-4.8145325246902075,0.8442,-557.5670561932073,0.9902489202945031,23.774440842079997,2.654123290062216e-14
1190,5.95,0.682813834702207,-1.161220290525296,-629.5057866412775,109.59162046970422,-519.9141661715732,-4.814020057144197,0.8442,-374.39886061205493,0.9341689088595594,58.470202332892015,2.8074281100770846e-14
1200,6.0,0.7220000000000004,-1.4688117311516065,-640.1750296054068,115.88100000000007,-524.2940296054068,-4.854574348198211,0.8442,-505.1473302212818,0.9544230783481104,43.979425085928,3.09102451105748e-14
1210,6.05,0.7295233306508315,-1.4275970423046869,-641.3762011459964,117.08849456945846,-524.287706576538,-4.854515801634611,0.8442,-491.76688510386634,0.9578274306331809,36.3624940793955,2.491139837328129e-14
1220,6.1000000000000005,0.6866366809657117,-1.158532421754451,-634.4811451683958,110.20518729499673,-524.275957873399,-4.854407017346286,0.8442,-374.60587137551977,0.9701993469357388,30.811087301168264,2.9818118584074764e-14
1230,6.15,0.6893585072298076,-1.1231549208903133,-634.9514129246626,110.64204041038413,-524.3093725142785,-4.854716412169245,0.8442,-361.91002420332836,0.9696388732472561,36.33561491114014,3.1151068923738243e-14
1240,6.2,0.7116899152575794,-1.2051970688139824,-638.5298507795535,114.22623139884149,-524.303619380712,-4.854663142414,0.8442,-400.6327919315341,0.9701055342409693,31.885144439260298,2.900976860388739e-14
1250,6.25,0.6810975735426213,-1.0689624341340827,-633.5932888025976,109.31616055359072,-524.2771282490069,-4.854417854157471,0.8442,-338.4346594794656,0.9402076597666782,54.04658497219742,2.5234138452124662e-14
1260,6.3,0.6632184359802231,-0.9992580794859786,-630.730305605725,106.4465589748258,-524.2837466308991,-4.854479135471288,0.8442,-305.8896145666926,0.9665301505851389,37.05087320892049,3.038544730458457e-14
1270,6.3500000000000005,0.702072349159321,-1.2785853184395906,-636.9894631779731,112.68261204007102,-524.3068511379021,-4.854693066091686,0.8442,-425.6827664700896,0.9721628836156998,26.124942407148705,2.746148770252258e-14
1280,6.4,0.662961864029834,-1.0550056927666187,-630.69357670544,106.40537917678836,-524.2881975286516,-4.854520347487515,0.8442,-327.2021577292127,0.9648885284495787,34.43534558230323,2.90221408778601e-14
1290,6.45,0.642746191969072,-0.8403351180487892,-627.4497542640672,103.16076381103606,-524.2889904530311,-4.854527689379918,0.8442,-238.26272038832897,0.9511792468349332,43.550363331467096,2.6116920034337997e-14
1300,6.5,0.721999999999999,-0.9233375926899745,-632.9779130371145,115.88099999999984,-517.0969130371146,-4.787934379973284,0.8442,-295.7969146070089,0.9674684479643838,36.15867088200169,3.10609105012426e-14
1310,6.55,0.7004686649692674,-0.8373019271857985,-629.5023665630625,112.42522072756742,-517.0771458354951,-4.787751350328659,0.8442,-255.80067721536386,0.9654280729542899,38.414350682138654,3.0991732057327134e-14
1320,6.6000000000000005,0.6919983408802027,-0.8436502772302484,-628.1592052549535,111.06573371127254,-517.093471543681,-4.787902514293342,0.8442,-255.4927591785261,0.9498226490469506,48.40602334342406,3.101896373653377e-14
1330,6.65,0.7189480858198455,-1.084661076079063,-632.4838898544124,115.3911677740852,-517.0927220803271,-4.787895574817844,0.8442,-356.7232905960846,0.9641362407363592,33.36340779127084,2.8278726365333677e-14
1340,6.7,0.725540966794098,-1.2234963743555998,-633.5241667783736,116.44932517045272,-517.0748416079208,-4.787730014888155,0.8442,-412.14372025727886,0.9418840125762972,57.49728743080462,2.966934718886643e-14
